accelX,accelY,accelZ,gyroX,gyroY,gyroZ,activity
-1344,-448,16808,-84,106,-8,0
436,364,16204,15,-85,13,0
-1300,396,15884,-32,87,-2,0
-932,4,16264,-52,78,-3,0
-764,152,16096,-5,19,5,0
-492,368,15508,1,-12,0,0
120,60,15560,-16,-69,8,0
-1020,260,15916,-20,26,0,0
-684,332,16120,28,5,-1,0
-532,136,16104,-22,7,0,0
-948,208,16172,-8,34,-4,0
-632,304,16088,2,6,-13,0
-728,172,16236,-5,20,10,0
-880,20,16188,-55,57,-15,0
-252,188,16120,-36,32,-13,0
-800,136,16212,-84,58,-20,0
-1028,376,16104,-77,125,-32,0
-300,448,16312,-47,38,-28,0
-712,216,15936,11,-32,13,0
-1248,176,16112,-30,47,-15,0
-628,-112,16084,16,23,-1,0
-804,-16,15816,33,-22,7,0
-932,184,15852,8,60,-16,0
-616,324,16092,30,-31,23,0
-520,296,16092,27,13,-1,0
-472,-56,16080,-11,0,3,0
-484,156,16112,9,-17,13,0
-848,40,16220,9,2,6,0
60,244,15688,-2,-42,6,0
-1084,256,16240,10,9,7,0
196,252,15804,25,-21,-6,0
-916,156,16324,-2,4,-4,0
-772,120,16172,-6,43,-11,0
-620,112,15928,31,0,-10,0
-652,168,16172,-18,3,-3,0
-656,200,16204,-4,15,0,0
-668,268,16228,9,11,-1,0
-712,176,16064,-5,20,-5,0
-660,80,16048,1,14,-6,0
-548,176,16124,-4,10,-4,0
-776,100,16088,-5,8,-5,0
-656,200,16184,6,1,0,0
-812,220,16312,-3,53,-16,0
-888,156,16052,1,16,-7,0
-712,136,16052,3,5,-3,0
-644,132,16064,-8,-1,-4,0
-600,164,16184,-10,-14,9,0
-732,184,16004,-5,8,-2,0
-712,208,16112,-10,2,5,0
-568,248,16228,14,3,3,0
-660,192,16076,-10,6,3,0
-640,200,16112,8,3,5,0
-812,196,15984,-6,5,1,0
-600,232,16108,1,-16,-1,0
-624,192,16296,-9,-1,9,0
-564,236,16020,-9,13,-5,0
-744,224,16272,10,33,-7,0
-728,144,16128,6,15,-6,0
-720,132,16136,-5,18,8,0
-440,144,16244,-3,-27,18,0
-804,192,16084,-12,-7,1,0
-744,172,16048,-6,16,10,0
-696,176,16188,-18,16,-4,0
-676,200,16088,-6,-7,2,0
